{song_name:Ben,artist_name:Starset2,playlist_name:playlist_1,author_id:629}
{song_name:Circus,artist_name:George Strait3,playlist_name:playlist_1,author_id:417}
{song_name:Fantasy,artist_name:Alizee4,playlist_name:playlist_1,author_id:220}
{song_name:Numb,artist_name:Escape1,playlist_name:playlist_1,author_id:101}
{song_name:Together,artist_name:Bon Jovi3,playlist_name:playlist_1,author_id:482}
{song_name:Good 4 U,artist_name:Kelly Clarkson4,playlist_name:playlist_1,author_id:142}
{song_name:Space Melody,artist_name:The Weeknd4,playlist_name:playlist_1,author_id:411}
{song_name:Bleeding Out,artist_name:Armin van Buuren2,playlist_name:playlist_2,author_id:959}
{song_name:Call 911,artist_name:Whitney Houston2,playlist_name:playlist_2,author_id:432}
{song_name:Tell Me Something Good (Mixed),artist_name:The World Alive4,playlist_name:playlist_2,author_id:648}
{song_name:I Want It All,artist_name:Lara Fabian3,playlist_name:playlist_2,author_id:388}
{song_name:Chemical,artist_name:Black Sabbath4,playlist_name:playlist_2,author_id:639}
{song_name:Don't Be Shy,artist_name:Blur,playlist_name:playlist_2,author_id:493}
{song_name:If You Really Love Me (How Will I Know),artist_name:Lana Del Ray1,playlist_name:playlist_2,author_id:58}
{song_name:Diablo,artist_name:Black Sabbath3,playlist_name:playlist_2,author_id:918}
{song_name:Desert Rose,artist_name:Celine Dion1,playlist_name:playlist_3,author_id:569}
{song_name:Heavier,artist_name:Escape3,playlist_name:playlist_3,author_id:488}
{song_name:Reason Living,artist_name:Blackpink2,playlist_name:playlist_3,author_id:26}
{song_name:Woo Baby,artist_name:Bruce Springsteen1,playlist_name:playlist_3,author_id:989}
{song_name:Holding Me Down,artist_name:Powerwolf3,playlist_name:playlist_4,author_id:445}
{song_name:Break My Heart,artist_name:Annisokay,playlist_name:playlist_4,author_id:461}
{song_name:Painkiller,artist_name:Benny Benassi4,playlist_name:playlist_4,author_id:871}
{song_name:Hello,artist_name:Ice Mc2,playlist_name:playlist_4,author_id:899}
{song_name:Let's Love,artist_name:Нервы,playlist_name:playlist_4,author_id:581}
{song_name:She Knows,artist_name:Judas Priest4,playlist_name:playlist_4,author_id:514}
{song_name:Iron,artist_name:David Guetta,playlist_name:playlist_5,author_id:709}
{song_name:OUT OUT,artist_name:Aerosmith1,playlist_name:playlist_5,author_id:469}
{song_name:Run Run,artist_name:Måneskin3,playlist_name:playlist_5,author_id:71}
{song_name:Essence,artist_name:System Of A Down1,playlist_name:playlist_5,author_id:100}
{song_name:About You Now,artist_name:Akcent,playlist_name:playlist_5,author_id:956}
{song_name:Alors On Danse,artist_name:Normandie1,playlist_name:playlist_5,author_id:506}
{song_name:Fuck That,artist_name:Arash,playlist_name:playlist_5,author_id:618}
{song_name:Youth,artist_name:Escape4,playlist_name:playlist_6,author_id:181}
{song_name:Are You Lonesome Tonight?,artist_name:Nancy Ajram3,playlist_name:playlist_6,author_id:976}
{song_name:Runaway Baby,artist_name:Royal Blood3,playlist_name:playlist_6,author_id:336}
