{artist_name:Elvis Presley,genre:alternative rock,number_of_listeners:1880555,link:@Elvis Presley,most_popular_track:With You,latest_release:Woo Baby}
{artist_name:Elton John,genre:rap rock,number_of_listeners:75121906,link:@Elton John,most_popular_track:Before I Cave In,latest_release:One Step Closer}
{artist_name:Bob Dylan,genre:metal,number_of_listeners:73041054,link:@Bob Dylan,most_popular_track:Loving Is Easy,latest_release:Where Is The Love?}
{artist_name:The Beatles,genre:alternative rock,number_of_listeners:21126998,link:@The Beatles,most_popular_track:You Don't Fool Me,latest_release:Hurricane}
{artist_name:Eric Clapton,genre:rap rock,number_of_listeners:82251081,link:@Eric Clapton,most_popular_track:Are You Lonesome Tonight?,latest_release:You Don't Fool Me}
{artist_name:Queen,genre:rave,number_of_listeners:91199828,link:@Queen,most_popular_track:Lovely,latest_release:Goosebumps}
{artist_name:Rod Stewart,genre:pop rap,number_of_listeners:74587380,link:@Rod Stewart,most_popular_track:The Secret He Had Missed,latest_release:Be Free}
{artist_name:Johnny Cash,genre:gospel music,number_of_listeners:77200617,link:@Johnny Cash,most_popular_track:Industry Baby,latest_release:Follow You}
{artist_name:Van Morrison,genre:country,number_of_listeners:51517055,link:@Van Morrison,most_popular_track:Believer,latest_release:Blinding Lights}
{artist_name:The Beach Boys,genre:folk,number_of_listeners:97051441,link:@The Beach Boys,most_popular_track:You and I,latest_release:Don't shut me down}
{artist_name:Prince,genre:folk,number_of_listeners:78515681,link:@Prince,most_popular_track:All Good Things,latest_release:VIVID VICE}
{artist_name:Bruce Springsteen,genre:rap,number_of_listeners:93607774,link:@Bruce Springsteen,most_popular_track:You and I,latest_release:Cursed}
{artist_name:The Rolling Stones,genre:jazz,number_of_listeners:59822067,link:@The Rolling Stones,most_popular_track:Rumors,latest_release:Butter}
{artist_name:Perry Como,genre:latin music,number_of_listeners:10696378,link:@Perry Como,most_popular_track:Back In The U.S.S.R.,latest_release:Love All}
{artist_name:AC/DC,genre:disco,number_of_listeners:86793257,link:@AC/DC,most_popular_track:Breathe,latest_release:Heavier}
{artist_name:George Strait,genre:r&b,number_of_listeners:99294045,link:@George Strait,most_popular_track:Techno Disco,latest_release:Paradise}
{artist_name:David Bowie,genre:rock,number_of_listeners:70859639,link:@David Bowie,most_popular_track:Tell Me Something Good (Mixed),latest_release:A Little Party Never Killed Nobody (All We Got)}
{artist_name:Aerosmith,genre:hard rock,number_of_listeners:92616522,link:@Aerosmith,most_popular_track:If You Ever Leave I'm Coming with You,latest_release:Seventeen Going Under}
{artist_name:Sarah Brightman,genre:punk rock,number_of_listeners:82296141,link:@Sarah Brightman,most_popular_track:U + Ur Hand,latest_release:Get Lucky}
{artist_name:Reba McEntire,genre:disco,number_of_listeners:91897401,link:@Reba McEntire,most_popular_track:Heavier,latest_release:Glory Box}
{artist_name:Michael Jackson,genre:pop rock,number_of_listeners:33775458,link:@Michael Jackson,most_popular_track:Pain,latest_release:Desert Rose}
{artist_name:Eminem,genre:rock,number_of_listeners:97036071,link:@Eminem,most_popular_track:Goosebumps,latest_release:Someone}
{artist_name:James Taylor,genre:jazz,number_of_listeners:25129761,link:@James Taylor,most_popular_track:The Windmills Of Your Mind,latest_release:Runaway With It}
{artist_name:Madonna,genre:latin music,number_of_listeners:67459089,link:@Madonna,most_popular_track:Run Run,latest_release:Freed From Desire}
{artist_name:The Clash,genre:trap,number_of_listeners:5875947,link:@The Clash,most_popular_track:Gone Forever,latest_release:Runaway}
{artist_name:Kris Kristofferson,genre:disco,number_of_listeners:80397467,link:@Kris Kristofferson,most_popular_track:Habits,latest_release:Shivers}
{artist_name:Alice Cooper,genre:gospel music,number_of_listeners:20525162,link:@Alice Cooper,most_popular_track:Space Melody,latest_release:Jalebi Baby}
{artist_name:Kiss,genre:pop,number_of_listeners:10716507,link:@Kiss,most_popular_track:Million To One,latest_release:Lost in Echoes}
{artist_name:Neil Young,genre:rock,number_of_listeners:7598712,link:@Neil Young,most_popular_track:Oh My Darling,latest_release:Another Brick In The Wall}
{artist_name:Starset,genre:hip hop,number_of_listeners:59013842,link:@Starset,most_popular_track:Blinding Lights,latest_release:No Twerk}
{artist_name:Dua Lipa,genre:hard rock,number_of_listeners:57865539,link:@Dua Lipa,most_popular_track:The Sun,latest_release:Mad About Bars}
{artist_name:Normandie,genre:gospel music,number_of_listeners:48338260,link:@Normandie,most_popular_track:Meet Me At Our Spot,latest_release:Hands Up}
{artist_name:Linked Horizon,genre:country,number_of_listeners:7188848,link:@Linked Horizon,most_popular_track:Father And Son,latest_release:You for Me}
{artist_name:Muse,genre:rap rock,number_of_listeners:78668711,link:@Muse,most_popular_track:Rumors,latest_release:Choose Me}
{artist_name:Coldplay,genre:pop rap,number_of_listeners:98430727,link:@Coldplay,most_popular_track:Whenever You're Ready (Acoustic),latest_release:Dancing On Dangerous}
{artist_name:Paramore,genre:r&b,number_of_listeners:19795614,link:@Paramore,most_popular_track:Father And Son,latest_release:Wasting My Youth}
{artist_name:Bring Me The Horizon,genre:metalcore,number_of_listeners:61669434,link:@Bring Me The Horizon,most_popular_track:Million To One,latest_release:Ooh Wee}
{artist_name:Cardi B,genre:indie pop,number_of_listeners:44242951,link:@Cardi B,most_popular_track:Dance Monkey,latest_release:Angels Lullaby}
{artist_name:Oasis,genre:disco,number_of_listeners:61445967,link:@Oasis,most_popular_track:You and I,latest_release:Be Free}
{artist_name:Black Sabbath,genre:jazz,number_of_listeners:43085868,link:@Black Sabbath,most_popular_track:ocean view,latest_release:Don't Speak}
{artist_name:Blur,genre:rave,number_of_listeners:64296900,link:@Blur,most_popular_track:Shivers,latest_release:Shape Of My Heart}
{artist_name:Arctic Monkeys,genre:metal,number_of_listeners:57878293,link:@Arctic Monkeys,most_popular_track:Cake By The Ocean,latest_release:Collard Greens}
{artist_name:The Smiths,genre:hard rock,number_of_listeners:30975256,link:@The Smiths,most_popular_track:Breathe,latest_release:Am I Wrong}
{artist_name:The Cure,genre:rap rock,number_of_listeners:27948809,link:@The Cure,most_popular_track:OUT OUT,latest_release:Aerials}
